,Network,Security,System,Misc
IPFilter,True,,,
ZeroConfiguration,True,,,
IPVersion6,True,,,
DynDNS,True,,,
Dot11Configuration,False,,,
Dot1XConfigurations,0,,,
HostnameFromDHCP,True,,,
NTP,1,,,
DHCPv6,True,,,
_attr_1,{},"{'MaxUserNameLength': '32', 'MaxPasswordLength': '16'}","{'StorageConfiguration': 'true', 'MaxStorageConfigurations': '8'}",
TLS1.0,,False,,
TLS1.1,,True,,
TLS1.2,,True,,
OnboardKeyGeneration,,False,,
AccessPolicyConfig,,False,,
DefaultAccessPolicy,,True,,
Dot1X,,False,,
RemoteUserHandling,,False,,
X.509Token,,False,,
SAMLToken,,False,,
KerberosToken,,False,,
UsernameToken,,True,,
HttpDigest,,True,,
RELToken,,False,,
SupportedEAPMethods,,[0],,
MaxUsers,,32,,
DiscoveryResolve,,,False,
DiscoveryBye,,,True,
RemoteDiscovery,,,False,
SystemBackup,,,False,
SystemLogging,,,True,
FirmwareUpgrade,,,True,
HttpFirmwareUpgrade,,,True,
HttpSystemBackup,,,False,
HttpSystemLogging,,,False,
HttpSupportInformation,,,False,
